Package Name,ID,Class
argos-translate-files,14578,0
argos-toolkit,14585,0
argostranslategui,14593,0
argumentative-question-classifier,14709,0
argueview,14725,0
ariadna,14756,0
argusvision,14761,0
arize,14873,0
arkab,14875,0
armadillin,14971,0
arm-mango,14993,1
armcor,15150,0
artap,15270,0
article-history,15359,0
arti,15360,0
artificery,15394,0
artificial-detection,15401,1
artificial-neural-network,15403,1
artificial-artwork,15405,1
artificienlib,15407,0
artificial-neural-network-model-automation,15413,1
artist-engineering-geek,15432,0
arus,15496,0
arxiv-post,15560,1
asai-ciel,15602,0
as-a-service,15637,1
ascends-toolkit,15662,0
asciiartist,15674,0
asct,15777,0
asapppy,15781,0
asdeep,15799,1
asdfghjkl,15809,0
asent,15836,0
ashpy,15985,1
asia-ds1-toolbox,15989,0
asian-bart,15993,0
askbob,16043,0
askflow,16054,1
aspect-based-sentiment-analysis,16171,1
asranger,16280,0
asreview-covid19,16292,0
asreview,16293,1
asreview-datatools,16295,0
asreview-hyperopt,16296,0
asrp,16299,0
asr-library,16300,0
asrt,16305,1
asreview-insights,16306,0
asreview-visualization,16307,0
asreview-wordcloud,16309,0
asrecognition,16312,0
aspectnlp,16319,0
asreview-statistics,16400,0
assetallocator,16403,0
asset-scanner,16407,0
asteroid-filterbanks,16550,1
asteroid,16555,1
astir,16566,0
assistant-dialog-skill-analysis,16592,0
astrape,16599,1
astred,16610,0
astroaugmentations,16615,0
astrochem-embedding,16628,0
astrodash,16640,1
astroblast,16648,0
astromer,16692,1
astronn,16718,1
astro-parsnip,16730,0
astroramjet,16762,0
astrorapid,16766,1
ast-toolbox,16792,0
asynccasbin,17059,0
asyncval,17449,0
at16k,17460,0
atacworks,17462,0
atalaya,17472,0
atap-widgets,17483,0
atflow,17620,1
atharva-generator,17627,0
athena-mathlab,17643,0
atlalign,17728,1
atlinter,17851,0
atman-kg-nlp,17856,0
at-ml,17861,0
atml,17865,0
atom3d,17882,0
atomai,17906,1
atomqc,17983,0
atqo,18039,0
attacut,18112,1
attention-tensorflow-mesh,18119,1
attentionodorify,18123,0
attn-gan-pytorch,18142,1
attrbench,18154,0
attributedict,18165,0
attributionpriors,18181,1
attention,18246,0
audacitorch,18255,0
audeep,18277,0
audio2dataset,18290,0
aucmedi,18292,0
audio-augmentations,18299,1
audio2text,18308,1
audiodl,18324,1
audio-classification-features,18337,0
audiomodels,18359,0
audioloader,18362,1
audiomentations,18366,1
audioowl,18395,1
audiossl,18396,0
audiostems,18398,0
audio-evaluator,18439,1
audlib,18458,1
audiutor-patbe,18469,0
audolab,18471,0
augbuilder,18485,0
audtorch,18486,1
auger-cli,18494,1
auglichem,18498,0
augly,18504,0
auger.ai.predict,18505,1
augly-jp,18506,0
augmented-pca,18509,1
auger.ai,18510,1
augmently,18511,1
augmax,18516,0
augmentts,18518,0
augraphy,18522,1
audioset-downloader,18524,1
augmix-tf,18530,0
augmentor,18533,1
augmenty,18550,0
aum,18560,0
auquan-toolbox,18573,0
auraloss,18574,1
auptimizer,18578,1
auriga,18597,0
aunnl,18598,1
aursad,18633,0
auralflow,18697,0
autil,18822,0
autism_treatment_assistance,18825,1
autoai-libs,18846,0
autoai-ts-libs,18850,0
autoanno,18854,0
autoads-test,18855,0
autoalbument,18862,1
autoballs,18888,0
autobert,18894,1
autobright,18915,0
autobotlib,18920,1
autochord,18956,1
auto-cnn,18976,1
autoconvo,18999,0
autocrosswalk,19021,1
auto-cv,19033,1
autodl,19092,0
auto-augment,19095,0
autodl-gpu,19096,1
autoextract,19140,0
auto-feature-extraction,19154,1
auto-fill-in,19167,0
autoforecast,19187,0
autogan,19189,1
autogame,19197,0
autogl,19205,0
autofj,19206,0
autogluon.common,19207,1
autogluon.features,19208,1
autogluon,19209,1
autogluon.tabular,19213,1
autogluon.mxnet,19215,1
autogluon.extra,19218,1
autogluon.core,19220,1
autograd,19221,1
autogluon.text,19224,1
autogluon-contrib-nlp,19232,0
autograde-visualizer,19233,0
autogoal,19235,0
autograd-latest,19246,1
autogluon.vision,19250,1
autokeras,19319,1
autolabel,19326,0
autolineplotter,19333,0
auto-lirpa,19342,0
automaps,19382,0
automatic-speech-recognition,19453,1
automationobjectdetection-sandeepjena7,19469,0
automatise,19478,0
automatize,19482,0
auto_ml,19510,1
automl,19512,1
automl-alex,19519,1
automl_gs,19521,1
automl-lib,19523,0
auto-ml-cl,19527,0
automlpy,19540,1
automl-utils,19546,1
autonbox,19560,0
autonn,19574,0
autonml,19579,0
autonlp,19585,1
autonomous-learning-library,19589,1
auto-od,19592,1
auton-survival,19597,1
auto-object-detection,19599,0
autonvtx,19607,0
autopool,19636,0
autoprototype,19648,0
autopycoin,19663,0
autopytorch,19678,1
autoqai,19686,0
autorch,19690,0
autorad,19691,0
autorecsys,19700,1
autoray,19701,1
auto-research,19731,0
autoscriber,19767,0
autosegl3,19796,0
autotab,19845,1
autotabular,19863,1
auto-tensorflow,19880,1
autots,19914,1
autovision,19951,0
autovideo,19953,1
autovul,19954,1
autumn8,19989,0
avantpy-extended,20076,0
avaxtar,20098,0
aver,20128,0
avilabsutils-ml,20181,0
avalanche-lib,20233,1
avro-gen-topkrabbensteam,20299,0
awca,20385,0
awave,20387,1
awesome-align,20406,0
awesome-autodl,20415,1
awesome-panel-extensions,20436,0
awesome-streamlit-master,20442,0
awessome,20448,0
awgan,20456,1
awlify,20469,0
awesome-streamlit,20475,0
awkward,20516,0
aws-sagemaker-remote,21434,0
aws-service-catalog-puppet,21475,0
axelerate,21765,0
ax-env,21771,0
axial-positional-embedding,21782,1
axial-attention,21787,1
axion-tensorflow,21800,0
axondeepseg,21829,1
axonn,21833,1
ax-platform,21862,0
azalea,21921,0
aydin,21941,1
ayolo,21950,1
azure-gamedev-spark,22218,0
azure-data-factory-generator,22226,0
azure-interactive-shortcuts,22246,0
azureml-accel-models,22438,0
azureml-automl-dnn-nlp,22440,0
azureml-automl-runtime,22443,0
azureml-contrib-automl-dnn-forecasting,22449,0
azureml-automl-dnn-vision,22452,0
azureml-contrib-automl-dnn-vision,22458,0
azureml-contrib-brainwave,22461,0
azureml-designer-cv-modules,22475,0
azureml-designer-classic-modules,22487,0
azureml-designer-recommender-modules,22492,0
azureml-designer-pytorch-modules,22496,0
azuremlftk,22501,0
azureml-train-automl-runtime,22519,0
azureml-training-tabular,22524,0
azure-percept,22540,0
azureml-interpret,22546,0
b2btools,22631,0
b4tf,22695,0
baal,22711,1
babblebox,22733,0
babilim,22774,0
back,22832,1
backgroundremover,22884,1
backpack-for-pytorch,22924,0
backprop,22956,1
backgroundvellore,22971,0
backwardcompatibilityml,23050,0
baconian,23084,0
bacon-net,23096,0
badai,23099,1
badchars,23116,1
bad-framework,23151,0
backtraderbd,23167,0
bagpipes,23220,0
bagua-cuda102,23223,1
bagua,23225,1
bagua-cuda111,23228,1
bagua-cuda115,23234,1
bagofconcepts,23238,0
bagua-cuda113,23240,1
baikalnlpy,23318,1
balloon-learning-environment,23615,0
bambu-qsar,23657,0
bam-intp,23674,0
bamler,23701,1
band,23702,0
banded-matrices,23705,0
banditml,23730,1
banet,23758,1
banglafasttext,23764,0
bangla-postagger,23774,0
bani,23807,0
banrep,23862,0
barbar,23924,1
barberchop,23930,0
baredl,23988,1
bareml,23994,1
barfi,24003,0
bark-ml,24034,0
bark-simulator,24036,1
barrage,24064,1
basaka,24119,0
basenef,24270,0
basescript,24306,0
basenet,24326,1
basetrainer,24327,1
basicai,24374,1
basicanalysis,24382,1
basicdeeplearningframework,24431,1
basic-image-eda,24455,1
basicprop,24501,1
basicsr,24521,1
basis,24563,1
batchbald-redux,24636,1
batch-face,24647,1
batchglm,24653,0
batchgenerators,24661,1
batchkit,24664,0
batchdist,24671,0
batchkit-examples-speechsdk,24675,0
batch-ppo,24686,1
batch-tr,24707,0
bat-country,24716,1
batorch,24736,1
battdeg,24753,0
batukh,24790,1
bavard,24803,0
bavard-nlu,24808,0
bax,24826,0
bayesian-torch,24881,1
bayes-optim,24915,0
baygaud,24931,0
bayes-vi,24933,0
bbaug,25002,0
bayne,25062,0
bbobtorch,25094,0
bbopt,25113,0
bbw,25171,0
bc-analyzer,25177,0
bc-count,25192,1
bcdc2bcdc,25193,0
bcipy,25279,0
bcuitylite,25343,0
bdacore,25363,0
bdl-benchmarks,25438,1
bdrk,25540,0
beacon-trellis,25554,0
bear-model,25711,0
beanmachine,25737,1
beatnet,25773,1
bedrock,25872,0
beefly,25974,1
behaveml,26107,0
beibo,26151,0
beir,26154,1
bel2scm,26168,0
bella-categorizador,26187,0
bella-tdsa,26189,0
bellman,26200,1
benchenas,26250,0
benchmark-for-transformers,26270,1
benchformer,26279,1
bendeep,26314,1
benderthon,26323,1
benlib,26361,0
bento2seldon,26391,0
bento-tools,26398,0
bentoutils,26403,0
bentopack,26404,0
bentoctl,26405,1
bentoml,26407,1
benzene,26410,0
bento-cli,26422,0
beobench,26446,0
bergamot,26447,1
bento-headless,26467,0
berrynet,26494,1
bert4pytorch,26495,0
bert2tf,26498,1
berenet,26501,1
bert-api,26507,0
bert-document-classification,26514,0
bert-embedding,26517,1
bert4tf,26518,1
bert-experimental,26524,1
bert-for-sequence-classification,26525,1
bert-base,26529,1
bert-for-tf2-mod,26532,1
bert-extractive-summarizer,26533,1
bertlibrary,26535,1
bertnlp,26537,0
bert-multitask-server,26539,1
bert-for-tf2,26540,1
bert-multitask-learning,26541,1
bert-pytorch,26542,1
bertopic,26543,1
bert-qa,26544,0
bertmoticon,26545,0
bert-seq2seq-ddp,26550,1
bert-seq2seq,26551,1
bertserini,26552,0
bert-service,26555,1
bert-serving,26557,1
bert-serving-client,26559,1
bert-text,26560,0
bert-sent-encoding,26561,0
bertserini-on-telegram,26562,0
bert-summarizer,26564,0
bert-serving-multilingual-server,26565,1
bert-serving-multilingual-client,26566,1
bert-text-classifier,26567,0
bert-serving-server,26569,1
bert-tensorflow,26571,1
bert-text-summarizer,26572,1
bertsimilarity,26573,1
bertstem,26575,0
bertviz,26581,1
bertvector,26588,0
berteome,26622,0
bert-mrc-predict,26624,1
bestof,26639,0
best-toolbox,26650,0
bert-token-tagger,26653,0
bert-mrc,26661,1
bert-multitask-client,26663,1
bert-score,26664,1
beta-divergence-metrics,26666,1
betago,26669,1
beta-rec,26699,1
beth,26720,0
betsi-ml,26724,0
betanin,26751,0
betag,26752,0
betterloader,26785,1
beyondpapers,26899,1
bf-nlu-banki,26968,0
bgnet,27035,0
bgremoverapp,27066,0
bicleaner-ai,27336,0
bicycle-bell-seds-cli,27350,0
bidirectional-cross-attention,27351,1
bidexhands,27352,0
bidaf-keras,27355,1
bigbert,27444,0
bigdl-math,27484,1
bigdl-friesian,27489,1
bigdl-friesian-spark3,27490,1
bigdl-core,27492,1
bigdl-dllib-spark3,27494,1
bigdl-orca,27496,1
bigdl-dllib,27497,1
bigdl-dllib-spark2,27498,1
bigdl-spark2,27499,1
bigdl-friesian-spark2,27500,1
bigdl-nano,27501,1
bigdl-orca-spark2,27504,1
bigdl-orca-spark3,27505,1
bigdl-serving,27508,1
bigdl-chronos-spark2,27514,1
bigdl-tf,27515,1
bigdl-chronos,27524,1
bigdl-chronos-spark3,27526,1
big-fiubrother-classification,27528,0
bigdl-spark3,27537,1
bigdl,27544,1
biggan,27551,0
bigml-sensenet,27569,0
big-phoney,27599,0
big-sleep,27641,1
big-fish,27676,0
bijou,27709,0
bi-lstm-crf,27831,1
bim,27837,0
bimvee,27847,1
bimodneurocnn,27848,0
binarypipe,27957,0
bindsnet,28034,1
bing-images,28073,1
binonymizer,28213,0
biobb-ml,28335,0
biobeaker,28355,0
biobert-pytorch,28381,1
biodetectron,28386,0
bio-embeddings-cpcprot,28388,0
bio-embeddings-deepblast,28392,0
bio-embeddings-allennlp,28397,1
bio-embeddings-plus,28407,0
bio-embeddings-tape-proteins,28413,1
bioimageio.core,28437,1
bioimageloader,28444,0
biokeen,28450,0
biomedicus,28518,0
biome-text,28521,0
bio-embeddings,28553,0
bioplate,28559,0
bio-image-unet,28561,0
bio-pyminer-norm,28570,0
biopy,28571,1
biopytorch,28579,0
biosimulators-pyneuroml,28614,0
bionas,28672,0
bio-transformers,28674,0
biotorch,28676,1
bio-pyminer,28700,0
bipedal-skills,28715,0
birt-gd,28850,0
bitfount,29112,0
bitgeist,29118,0
bitorchinfo,29207,1
bitorch,29218,0
bittensor,29359,1
blackbeard2109,29512,0
blackbox-mpc,29523,0
blackhc.laaos,29562,1
blackhc.project,29567,0
blackfox-extras,29609,0
blackonnx,29613,0
blackstone,29632,0
blanc,29678,0
blather,29733,1
blase,29811,0
blenderneuron,29843,1
blis,29963,1
blitz-bayesian-pytorch,29995,1
blobconverter,30036,1
blml1,30043,0
blobrl,30048,1
blochify,30058,0
block,30069,1
block.bootstrap.pytorch,30072,1
blobcity,30191,1
blokus-gym,30358,1
bluefog,30443,1
bluegramm,30459,1
bluenet,30465,1
bluesky-cartpole,30505,0
bluesky-darkframes,30506,0
bluesearch,30513,1
bluewhale3-text,30553,0
blurit,30584,0
blusky,30599,0
bmlx-metadata,30729,0
bmtk,30750,1
bmstu-ovchinnikov-capsnet,30755,0
bluewhale3-network,30760,0
bmtool,30780,0
bnfeatureextraction,30818,0
bnlm,30831,0
bnltk,30835,1
bnn,30837,1
bnlp-toolkit,30845,0
bntransformer,30860,1
board-game-recommender,30899,0
bnvec,30915,0
bob.ip.pytorch-extractor,31054,1
bntranslit,31059,1
bob.learn.pytorch,31060,1
bob.learn.tensorflow,31072,1
bobotools,31078,0
bodytracking,31195,0
boiler-plate-pytorch,31260,1
bol-library,31323,0
boilr,31328,1
boltrp,31357,0
boltzmann-policy-distribution,31364,0
boml,31400,1
bonltk,31460,1
bookkeywords,31570,0
boolean-question,31604,1
boostaug,31659,0
booster-pytorch,31666,1
bootcamp,31692,1
boolean-solver,31698,1
bootleg,31714,0
bootstrap.pytorch,31758,1
borch,31795,0
bore,31827,1
botnoi,32075,0
botorch,32146,1
botpress-nlu-testing,32163,0
botpress-analyser,32173,0
bottleneck-transformer-pytorch,32263,1
bottleneck-transformer-flax,32267,1
boudams,32382,0
bounded-prescience,32406,0
bound-propagation,32418,0
boxes-classifier,32499,0
box-embeddings,32500,1
boxsers,32529,1
boxx,32536,1
boydcut,32549,0
bpe-summarizer,32589,0
bpemb,32603,0
bph-pal,32605,0
bpmll,32631,0
bpmodels,32634,1
bpnet,32646,1
bpnet-lite,32655,0
bp-storage,32675,1
bpycv,32690,1
bqapi-ucsb,32705,1
bqtxflowutils-2,32756,0
bprune,32792,1
braille-radio,32822,0
braid,32823,1
braindynamics,32860,1
brainml,32906,1
brainnet,32907,1
brainmodels,32909,1
brainome,32915,0
brainome-linux-python3.8,32917,0
brainome-mac-python3.8,32918,0
brainome-mac-python3.9,32920,0
brainome-linux-python3.9,32921,0
brain-py,32923,1
brainpy,32927,1
brainpylib,32928,1
brainpy-simulator,32934,1
braindecode,32935,1
brainless,32941,1
brainseg,32945,0
braingb,32949,0
brainome-linux-python3.7,32951,0
brainome-mac-python3.7,32953,0
brain-slam,32967,0
brainmri-ps,32982,0
branchedgp,33065,0
brax,33083,0
brc,33096,1
breaching,33113,1
brea,33127,0
breakhis-gradcam,33133,1
breizhcrops,33173,0
brevettiai,33203,0
brc-pytorch,33219,1
brewgorithm,33238,1
brevitas,33253,1
brian2genn,33256,1
brian2,33260,1
brian2tools,33264,0
brian2-loihi,33273,0
brian-dash,33287,0
bridgebots-sequence,33312,0
bristol,33407,1
brnolm,33438,0
broca,33463,0
brws,33731,0
bsconv,33798,1
bsl-appcli,33827,0
bs-ds,33837,0
bsoid,33856,1
bspred,33869,0
btmodified,34058,0
bubbletea-py,34172,0
bubs,34198,0
budgetml,34250,1
bugbug,34321,0
build2vec,34390,0
building-footprint-segmentation,34462,1
building-neural-network,34466,1
building-inspection-toolkit,34488,1
built,34622,1
bumblebee-status,34696,1
bundestag,34770,0
bunnieddpg,34788,0
bunkai,34792,0
burrolib,34903,0
buskin,34966,0
bwmd,35171,0
bxmodels,35204,0
bxtorch,35222,1
bycycle,35244,1
bypaxpan,35279,0
byol-pytorch,35289,1
byterec,35368,1
bytesep,35384,0
byteps,35392,1
c19rep,35494,0
c2xg,35563,0
c3-toolset,35582,0
c3-toolset-nightly,35588,0
c4v-py,35600,0
cached-path,35762,0
cadl,35922,1
cadrec,35930,1
cad-recognition,35933,1
cae,35946,1
caer-models,35954,1
caer,35959,1
caffe2onnx,35985,1
caicloud.tensorflow,36015,1
cairecovid,36046,0
cait,36077,0
calamari-ocr,36101,0
calc4ap,36163,1
calcium-inference,36168,0
calcipy,36174,0
calvos,36562,0
camael,36580,1
came,36613,0
camel-tools,36644,0
campa,36717,0
camphr,36727,1
camphr-core,36731,0
camphr-torch,36735,0
camphr-transformers,36759,0
camtrapml,36775,0
camphr-allennlp,36778,0
canaro,36815,1
camera-person-2d-mapping,36907,0
cangjie,36917,0
cannai,36926,0
canonicaljson,36953,0
cansig,36997,0
can-show-you-anything-ai,36999,0
cantorproject,37016,0
canton,37075,1
cape-client,37105,1
cap-fairing,37116,0
capstone-text-mining,37182,0
captcha-impulse,37218,0
capreolus,37243,0
captum,37258,1
carbonify,37336,0
cardbuilder,37387,0
cardec,37400,0
carefree-learn,37456,1
careless,37476,0
cargan,37481,1
carla-recourse,37520,1
carla,37523,1
carla-unofficial,37529,1
carling,37551,0
carpedm,37567,1
