Source,Target
330594,18246
339622,18255
330621,18277
357340,18290
358682,18290
6911,18292
24661,18292
44686,18292
330594,18292
339622,18299
339629,18299
339622,18308
339629,18308
158188,18337
330594,18359
96983,18396
97286,18396
105956,18396
140433,18396
161106,18396
167541,18396
167610,18396
242837,18396
269255,18396
275883,18396
301327,18396
316503,18398
339622,18439
339629,18439
339622,18458
314121,18469
123058,18471
6911,18485
322047,18485
339622,18486
330504,18498
339622,18498
201648,18504
339622,18504
339629,18504
123058,18506
302234,18506
339622,18506
342003,18506
97286,18516
158188,18518
330594,18518
330544,18518
330594,18530
330638,18530
314121,18550
339622,18560
330504,18573
330531,18573
339622,18597
330594,18633
339622,18697
339629,18697
66628,18822
342131,18822
123058,18846
330594,18850
123058,18854
302255,18855
339622,18855
342003,18855
6911,18862
275883,18862
301327,18862
330504,18862
336343,18862
339622,18862
6911,18888
96983,18888
144258,18888
242837,18888
301327,18888
336343,18888
339622,18888
339629,18888
342003,18894
322047,18915
330594,18956
339622,18999
95933,19021
158188,19092
330594,19092
339622,19092
6911,19095
342003,19140
330594,19154
342087,19167
158188,19187
330594,19187
339622,19187
158188,19189
330594,19189
330594,19197
330621,19197
202087,19205
220205,19205
339622,19205
314121,19206
19207,19208
19208,19209
19224,19209
19250,19209
19220,19213
19208,19213
106696,19213
339622,19213
19220,19215
19220,19218
127216,19218
19207,19220
283564,19220
19207,19224
19220,19224
19208,19224
201648,19224
275883,19224
302234,19224
336343,19224
339622,19224
339885,19224
342003,19224
302234,19232
314121,19232
323388,19232
338047,19232
322047,19233
123058,19235
158188,19235
314121,19235
322047,19235
342003,19235
19220,19250
127216,19250
336343,19250
330594,19319
339622,19326
330504,19333
339622,19342
339622,19342
322047,19382
330504,19469
330594,19469
339622,19469
330594,19478
330594,19482
330594,19523
330594,19527
339622,19560
339622,19574
339622,19579
63749,19585
140433,19585
330504,19589
330531,19589
339622,19589
302234,19592
316597,19592
333636,19592
339622,19597
125222,19599
158188,19599
302234,19599
302646,19599
316597,19599
330504,19599
330594,19599
330544,19599
330603,19599
330613,19599
330635,19599
330680,19599
333636,19599
339622,19607
158188,19636
330594,19636
330594,19648
330594,19663
330638,19663
144258,19678
330504,19678
339622,19678
330594,19686
330504,19690
339622,19690
339700,19690
187439,19691
9927,19731
26533,19731
199467,19731
302234,19731
302255,19731
342003,19731
26533,19767
199467,19767
302234,19767
314121,19767
339622,19767
342003,19767
330594,19796
330517,19880
330594,19880
330588,19880
330613,19880
330655,19880
330680,19880
333768,19880
127266,19914
330594,19914
339622,19951
339622,19954
330594,19989
339622,19989
348828,20076
339622,20098
197261,20128
339622,20181
275855,20233
330504,20233
339622,20233
357340,20233
118062,20299
339622,20385
342003,20385
339622,20387
338047,20406
339622,20406
228526,20436
322047,20442
302234,20448
302255,20448
338047,20448
339622,20448
342003,20448
339622,20456
314121,20469
322047,20475
19221,20516
295459,21434
295384,21434
66496,21475
144258,21765
330594,21765
333263,21765
158188,21771
330594,21771
339622,21787
330594,21800
6911,21829
158188,21829
330594,21829
32146,21862
330531,21921
339622,21921
158188,21941
330594,21941
339622,21941
325830,22218
66496,22226
288812,22246
330594,22438
330621,22438
63749,22440
302646,22440
339622,22440
342003,22440
123058,22443
158184,22443
221727,22443
330504,22449
339622,22449
242837,22452
275852,22452
288084,22452
336343,22452
339622,22452
242837,22458
275852,22458
288084,22458
339622,22458
158188,22461
339622,22475
123058,22487
330621,22492
339622,22496
158188,22501
330594,22501
123058,22519
158184,22519
221727,22519
