Id,Label,timeset,package name,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,clustering,eigencentrality,Authority,Hub,weighted indegree,weighted outdegree,Weighted Degree,pageranks
201874,,,nlup,0,0,0,0,1746,0,0,0,0,0,0,0,0,0,0,0.000147
201951,,,nmcog,0,0,0,0,1747,0,0,0,0,0,0,0,0,0,0,0.000147
201967,,,nmmo,0,0,0,0,1748,0,0,0,0,0,0,0,0,0,0,0.000147
202003,,,nmtpytorch,0,0,0,0,2690,3,0,3,0,0.001205,0.026036,0,3,0,3,0.000181
202008,,,nn,0,0,0,0,1749,0,0,0,0,0,0,0,0,0,0,0.000147
202011,,,nn13framework,0,0,0,0,1750,0,0,0,0,0,0,0,0,0,0,0.000147
202015,,,nn4mc,0,0,0,0,1751,0,0,0,0,0,0,0,0,0,0,0.000147
202017,,,nnabla-ext-cuda100,0,0,0,0,2690,1,0,1,0,0.000402,0.000002,0,1,0,1,0.000159
202019,,,nnabla-ext-cuda100-nccl2-mpi3-1-6,0,0,0,0,2690,1,0,1,0,0.000402,0.000002,0,1,0,1,0.000159
202021,,,nnabla-ext-cuda110,0,0,0,0,2690,1,0,1,0,0.000402,0.000002,0,1,0,1,0.000159
202022,,,nnabla-ext-cuda102-nccl2-mpi3-1-6,0,0,0,0,2690,1,0,1,0,0.000402,0.000002,0,1,0,1,0.000159
202024,,,nnabla-ext-cuda102,0,0,0,0,2690,1,0,1,0,0.000402,0.000002,0,1,0,1,0.000159
202025,,,nnabla-ext-cuda110-nccl2-mpi2-1-1,0,0,0,0,2690,1,0,1,0,0.000402,0.000002,0,1,0,1,0.000159
