Id,Label,timeset,package name,class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,clustering,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,eigencentrality,pageranks
340080,,,torchtoolbox,1,0,0,0,0,5192,0,0,0,0,0,0,0,0,0,0,0.000077
340082,,,torchtools,1,0,0,0,0,5193,0,0,0,0,0,0,0,0,0,0,0.000077
340084,,,torchtime,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
340085,,,torchtimer,1,0,0,0,0,5194,0,0,0,0,0,0,0,0,0,0,0.000077
340086,,,torch-tps,1,0,0,0,0,5195,0,0,0,0,0,0,0,0,0,0,0.000077
340087,,,torchtracer,1,0,0,0,0,5196,0,0,0,0,0,0,0,0,0,0,0.000077
340090,,,torchtraining,1,0,0,0,0,5197,0,0,0,0,0,0,0,0,0,0,0.000077
340091,,,torchtraps,1,0,0,0,0,5198,0,0,0,0,0,0,0,0,0,0,0.000077
340094,,,torchstain,1,0,0,0,0,5199,0,0,0,0,0,0,0,0,0,0,0.000077
340095,,,torch-scatter,1,1,1,1,0,4993,0,8,8,0,0,8,8,0,0.003382,0,0.000077
340096,,,torchsr,1,0,0,0,0,5200,0,0,0,0,0,0,0,0,0,0,0.000077
340102,,,torchtree,1,0,0,0,0,5201,0,0,0,0,0,0,0,0,0,0,0.000077
340103,,,torch-text-classifier,1,0,0,0,0,5202,0,0,0,0,0,0,0,0,0,0,0.000077
340108,,,torchtrain,1,0,0,0,0,5203,0,0,0,0,0,0,0,0,0,0,0.000077
340110,,,torchtraining-nightly,1,0,0,0,0,5204,0,0,0,0,0,0,0,0,0,0,0.000077
340111,,,torch-summary,1,1,1,1,0,3874,0,1,1,0,0,1,1,0,0.000426,0,0.000077
340112,,,torch-utils,1,0,0,0,0,5205,0,0,0,0,0,0,0,0,0,0,0.000077
340117,,,torchtils,1,0,0,0,0,5206,0,0,0,0,0,0,0,0,0,0,0.000077
340119,,,torch-unique,1,0,0,0,0,5207,0,0,0,0,0,0,0,0,0,0,0.000077
340120,,,torchutils,1,0,0,0,0,5208,0,0,0,0,0,0,0,0,0,0,0.000077
340122,,,torchsplit,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
340123,,,torchvae,0,0,0,0,0,3874,2,0,2,0,2,0,2,0.020741,0,0.117647,0.000078
340124,,,torchvc,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
340125,,,torch-tensorrt,1,0,0,0,0,5209,0,0,0,0,0,0,0,0,0,0,0.000077
340127,,,torchvision-yolov3,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
340129,,,torchserve,1,1,1,1,0,4271,0,6,6,0,0,6,6,0,0.002396,0,0.000077
340130,,,torchvision4ad,1,0,0,0,0,5210,0,0,0,0,0,0,0,0,0,0,0.000077
340131,,,torchtyping,1,1,1,1,0,4993,0,5,5,0,0,5,5,0,0.002263,0,0.000077
340132,,,torchvision-enhance,1,0,0,0,0,5211,0,0,0,0,0,0,0,0,0,0,0.000077
340133,,,torch-time-stretch,0,0,0,0,0,4993,2,0,2,0,2,0,2,0.020052,0,0.117647,0.000078
340134,,,torchwordemb,1,0,0,0,0,5212,0,0,0,0,0,0,0,0,0,0,0.000077
340135,,,torchwatch,1,0,0,0,0,5213,0,0,0,0,0,0,0,0,0,0,0.000077
340136,,,torch-workflow-archiver,1,0,0,0,0,5214,0,0,0,0,0,0,0,0,0,0,0.000077
340137,,,torchvggish,1,0,0,0,0,5215,0,0,0,0,0,0,0,0,0,0,0.000077
340138,,,torch-transformer,1,0,0,0,0,5216,0,0,0,0,0,0,0,0,0,0,0.000077
340140,,,torch-workflow-archiver-nightly,1,0,0,0,0,5217,0,0,0,0,0,0,0,0,0,0,0.000077
340142,,,torchvideo,1,0,0,0,0,5218,0,0,0,0,0,0,0,0,0,0,0.000077
340144,,,torchx,1,0,0,0,0,5219,0,0,0,0,0,0,0,0,0,0,0.000077
340145,,,torchzoo,1,0,0,0,0,5220,0,0,0,0,0,0,0,0,0,0,0.000077
340147,,,torchvision-extra,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
340149,,,torchwindow,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
340151,,,torchvtk,1,0,0,0,0,5221,0,0,0,0,0,0,0,0,0,0,0.000077
340153,,,torch-yolo3,1,0,0,0,0,5222,0,0,0,0,0,0,0,0,0,0,0.000077
340155,,,torchtrt,1,0,0,0,0,5223,0,0,0,0,0,0,0,0,0,0,0.000077
340159,,,torchx-nightly,1,0,0,0,0,5224,0,0,0,0,0,0,0,0,0,0,0.000077
340160,,,torchzq,1,0,0,0,0,5225,0,0,0,0,0,0,0,0,0,0,0.000077
340165,,,torchtext,1,1,1,1,0,3874,0,37,37,0,0,37,37,0,0.015014,0,0.000077
340169,,,torchwisdom,1,0,0,0,0,5226,0,0,0,0,0,0,0,0,0,0,0.000077
