Source,Target
342003,24808
348573,24808
87712,24826
158188,24826
330594,24826
339622,24915
283564,24931
330594,24933
330638,24933
144258,25002
266866,25062
339622,25062
339622,25094
330594,25113
322047,25171
66496,25177
66496,25193
339622,25279
342003,25279
221727,25343
330594,25343
339622,25343
123058,25363
4325,25540
330594,25554
330594,25711
330698,25711
330638,25711
123058,25872
314121,25872
158188,26107
330594,26107
62098,26151
266866,26168
339622,26168
339622,26187
342003,26187
123058,26189
158188,26189
314121,26189
330594,26189
339622,26250
330594,26361
26407,26391
309299,26398
26407,26403
158188,26404
158347,26404
339622,26410
118062,26422
339622,26446
357340,26446
118062,26467
339622,26495
26571,26507
276021,26514
339622,26514
302234,26537
330594,26537
338047,26537
339622,26537
342003,26537
302234,26544
330594,26544
330621,26544
330613,26544
339622,26545
342003,26545
330531,26552
339622,26552
342003,26552
330621,26560
339622,26561
63749,26562
275883,26562
339622,26562
342003,26562
223424,26564
339622,26567
340165,26567
342003,26567
339622,26575
342003,26575
330594,26588
63749,26622
339622,26622
342003,26622
178992,26639
339622,26639
339622,26650
339622,26653
342003,26653
339622,26720
330594,26724
13452,26751
322047,26752
314121,26968
330594,26968
330544,26968
330680,26968
342003,26968
339622,27035
339622,27066
302234,27336
330594,27336
342003,27336
330594,27350
330626,27350
328550,27352
339622,27352
111718,27444
158188,27444
158361,27444
275946,27444
330594,27444
339622,27444
342003,27444
330594,27528
330594,27551
330594,27569
158188,27599
330594,27599
330594,27676
330544,27676
339622,27709
295668,27837
330594,27837
32935,27848
330594,27957
314121,28213
334503,28213
330594,28335
330594,28355
330544,28355
144258,28386
339622,28386
28413,28388
339622,28388
275883,28392
339622,28392
339622,28407
6911,28444
330594,28444
339622,28444
258988,28450
1237,28518
63749,28518
319689,28518
339622,28518
8654,28521
37258,28521
63749,28521
275883,28521
314121,28521
339622,28521
342003,28521
28397,28553
28413,28553
123058,28553
339622,28553
342003,28553
255470,28559
255491,28559
6911,28561
23924,28561
283564,28570
275883,28579
339622,28579
357340,28579
33260,28614
158188,28672
330594,28672
275883,28674
283564,28674
339622,28674
339885,28674
342003,28674
283564,28700
87660,28715
330594,28850
6911,29112
339622,29118
29207,29218
275883,29218
330504,29218
330531,29218
339622,29218
339885,29218
357340,29218
185358,29512
330594,29512
330594,29523
330638,29523
162600,29567
275852,29567
339622,29567
330594,29609
221727,29613
314121,29632
339622,29678
342003,29678
339622,29811
330594,30043
330594,30058
330594,30505
330693,30505
118062,30506
123058,30553
87475,30584
158188,30599
330594,30599
330594,30729
330594,30755
123058,30760
30750,30780
123058,30818
106696,30831
302234,30831
314121,30831
123058,30845
302234,30845
344732,30899
123058,30915
339622,31078
178992,31195
339622,31323
339622,31357
339622,31364
29963,31570
314121,31570
334503,31570
201648,31659
248897,31659
330680,31659
98737,31714
302234,31714
314121,31714
339622,31714
342003,31714
357340,31714
275883,31795
339622,31795
339783,31795
340050,31795
123058,32075
158188,32075
330594,32075
322047,32163
26543,32173
163359,32173
228526,32173
314121,32173
322047,32173
339622,32382
330594,32406
339622,32418
330556,32499
66557,32549
330594,32549
342003,32589
123058,32603
302234,32603
66496,32605
330594,32631
339622,32655
322047,32756
206384,32822
339622,32915
339622,32917
339622,32918
339622,32920
339622,32921
330594,32945
202296,32949
339622,32949
339783,32949
340095,32949
340050,32949
339622,32951
339622,32953
354438,32967
6911,32982
339622,32982
129124,33065
330594,33065
330531,33083
289557,33127
339622,33173
330594,33203
333263,33203
33260,33264
33260,33273
33260,33287
330594,33312
339622,33438
314121,33463
314121,33731
66496,33827
123058,33837
158188,33869
111718,34058
302255,34058
339622,34058
322047,34172
330594,34198
123058,34321
314121,34321
330594,34321
123058,34390
106696,34770
123058,34770
314121,34770
158188,34788
330594,34788
302646,34792
339622,34792
342003,34792
339622,34903
199467,34966
314121,34966
342003,34966
330594,35171
330638,35171
35222,35204
339622,35204
314121,35279
275883,35384
339622,35384
302255,35494
123058,35563
330594,35582
330588,35582
330638,35582
330594,35588
330588,35588
330638,35588
63749,35600
322047,35600
330594,35600
330638,35600
339622,35600
342003,35600
341984,35600
140433,35762
302234,36046
275883,36077
339622,36077
330594,36101
333316,36101
339622,36168
288812,36174
255470,36562
69182,36613
339622,36613
339622,36644
342003,36644
330594,36717
302234,36731
314121,36731
339622,36735
36727,36759
339622,36759
342003,36759
330594,36775
330613,36775
8654,36778
36727,36778
330594,36907
123058,36917
127215,36917
158188,36926
330594,36926
339622,36926
118062,36953
300075,36997
144258,36999
339622,36999
330594,37016
330638,37016
158850,37116
123058,37182
314121,37182
330504,37218
339622,37218
314121,37243
330594,37243
330645,37243
339622,37243
342003,37243
322047,37336
