Id,Label,timeset,package name,class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,clustering,eigencentrality,Authority,Hub,weighted indegree,weighted outdegree,Weighted Degree,pageranks
6911,,,albumentations,1,7,0.259768,0.320035,1468,71,1,124,125,0.000581,0.000402,0.000124,0.022706,1,125,126,0.000076
6922,,,alchemy,1,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0.000075
6924,,,alchemy-catalyst,1,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0.000075
6950,,,alcokit,0,0,0,0,0,71,1,0,1,0,0.071136,0.001259,0,1,0,1,0.000075
7103,,,alert-behavior,0,0,0,0,0,1110,1,0,1,0,0.000402,0.000051,0,1,0,1,0.000076
7137,,,aletheia-dnn,1,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0.000075
7176,,,alexnet-pytorch,1,0,0,0,0,2853,1,0,1,0,0.000402,0.015516,0,1,0,1,0.000075
7204,,,alfi,0,0,0,0,0,2853,2,0,2,0,0.000803,0.015625,0,2,0,2,0.000077
7222,,,alfie,0,0,0,0,0,2624,1,0,1,0,0.033231,0.003945,0,1,0,1,0.000075
7237,,,alfred-py,1,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0.000075
7243,,,alfred-collection,1,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0.000075
7250,,,alfworld,0,0,0,0,0,2948,4,0,4,0.166667,0.214458,0.019371,0,4,0,4,0.000076
7266,,,algernon,1,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0.000075
7286,,,algobra,0,0,0,0,0,2853,1,0,1,0,0.000402,0.015516,0,1,0,1,0.000075
7299,,,algograd,0,0,0,0,0,2853,1,0,1,0,0.000402,0.015516,0,1,0,1,0.000075
7352,,,algo-profiler,0,0,0,0,0,2112,1,0,1,0,0.000402,0,0,1,0,1,0.000085
7428,,,algovision,0,0,0,0,0,2853,1,0,1,0,0.000402,0.015516,0,1,0,1,0.000075
7453,,,alias-free-torch,1,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0.000075
7464,,,algo-wars,1,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0.000075
7904,,,alibabacloud-ros-tran,1,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0.000075
8048,,,alibi,0,0,0,0,0,2612,4,0,4,0.166667,0.194346,0.022653,0,4,0,4,0.000076
8056,,,alibi-detect,0,0,0,0,0,2624,4,0,4,0.166667,0.219155,0.022743,0,4,0,4,0.000075
8139,,,align,0,0,0,0,0,2422,1,0,1,0,0.000402,0.000536,0,1,0,1,0.000075
8173,,,alignn,0,0,0,0,0,631,4,0,4,0.083333,0.002334,0.01581,0,4,0,4,0.0001
8189,,,alignreg,0,0,0,0,0,2624,2,0,2,0,0.033633,0.019461,0,2,0,2,0.000075
8228,,,alisk,0,0,0,0,0,2853,1,0,1,0,0.000402,0.015516,0,1,0,1,0.000075
8595,,,alkanet-picard,1,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0.000075
8632,,,alldata,0,0,0,0,0,2422,1,0,1,0,0.009021,0.000874,0,1,0,1,0.000075
8642,,,allenact,1,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0.000075
8648,,,allencv,0,0,0,0,0,2422,3,0,3,0.166667,0.117835,0.016019,0,3,0,3,0.000077
8649,,,allennlp-hydra,0,0,0,0,0,2422,1,0,1,0,0.116304,0.000125,0,1,0,1,0.000076
8651,,,allennlp-semparse,1,0,0,0,0,2422,2,0,2,0.5,0.125326,0.001,0,2,0,2,0.000076
8653,,,allennlp-datalawyer,0,0,0,0,0,2991,2,0,2,0,0.159258,0.003143,0,2,0,2,0.000075
8654,,,allennlp,1,2,0.875,0.928571,1532.1,2422,7,48,55,0.023906,0.296877,0.021569,0.007555,7,48,55,0.000077
8655,,,allennlp-wordsplitter-ltp,0,0,0,0,0,2422,1,0,1,0,0.116304,0.000125,0,1,0,1,0.000076
8659,,,allennlp-dataframe-mapper,0,0,0,0,0,2422,1,0,1,0,0.116304,0.000125,0,1,0,1,0.000076
8662,,,allennlp-shiba,1,0,0,0,0,2853,2,0,2,0,0.118817,0.000125,0,2,0,2,0.000147
8664,,,allennlp-optuna,0,0,0,0,0,2422,1,0,1,0,0.116304,0.000125,0,1,0,1,0.000076
8667,,,allenact-plugins,1,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0.000075
8668,,,allennlp-server,1,0,0,0,0,2422,2,0,2,0.5,0.215653,0.000152,0,2,0,2,0.000083
8671,,,allennlp-wordsplitter-corenlp,0,0,0,0,0,2422,1,0,1,0,0.116304,0.000125,0,1,0,1,0.000076
8679,,,allennlp-runmodel,0,0,0,0,0,2422,1,0,1,0,0.116304,0.000125,0,1,0,1,0.000076
8686,,,allennlp-models,1,1,1,1,55.85,2422,3,10,13,0.102564,0.264735,0.016344,0.001585,3,10,13,0.000077
8687,,,alleycat-reactive,0,0,0,0,0,2336,1,0,1,0,0.000402,0.000004,0,1,0,1,0.000078
8692,,,allennlp-pvt-nightly,1,0,0,0,0,2948,5,0,5,0.1,0.01281,0.017038,0,5,0,5,0.000081
8697,,,alleycat-ui,0,0,0,0,0,2336,1,0,1,0,0.000402,0.000004,0,1,0,1,0.000078
8752,,,allosaurus,1,0,0,0,0,2853,1,0,1,0,0.000402,0.015516,0,1,0,1,0.000075
8770,,,allrank,1,0,0,0,0,2612,2,0,2,0,0.000803,0.015983,0,2,0,2,0.000075
8778,,,allrank-mod,1,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0.000075
8809,,,alltime,0,0,0,0,0,2624,1,0,1,0,0.033231,0.003945,0,1,0,1,0.000075
8876,,,alns,1,1,1,1,0,85,0,1,1,0,0,0,0,0,1,1,0.000075
8885,,,alnlp,1,1,1,1,0,2948,0,1,1,0,0,0,0.000322,0,1,1,0.000075
8925,,,alpacka,0,0,0,0,0,2624,2,0,2,0.5,0.033633,0.004952,0,2,0,2,0.000075
8934,,,alpa,1,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0.000075
8939,,,alpaca-ml,0,0,0,0,0,2853,1,0,1,0,0.000402,0.015516,0,1,0,1,0.000075
8980,,,alphad3m,0,0,0,0,0,2853,1,0,1,0,0.000402,0.015516,0,1,0,1,0.000075
8984,,,alphafold2,0,0,0,0,0,2853,2,0,2,0,0.000803,0.016351,0,2,0,2,0.000075
8991,,,alphafold,0,0,0,0,0,2626,2,0,2,0,0.033633,0.003988,0,2,0,2,0.000077
8994,,,alphadetector,0,0,0,0,0,2623,5,0,5,0.1,0.035565,0.021155,0,5,0,5,0.000078
8997,,,alphafold-kagglefold,0,0,0,0,0,2626,2,0,2,0,0.033633,0.000111,0,2,0,2,0.000078
9004,,,alphafold2-pytorch,1,1,1,1,49,2853,6,1,7,0.190476,0.164502,0.019378,0.000271,6,1,7,0.000235
9009,,,alpha-finance,0,0,0,0,0,2624,2,0,2,0.5,0.033633,0.004952,0,2,0,2,0.000075
9010,,,alphafold-colabfold,0,0,0,0,0,2626,2,0,2,0,0.033633,0.000111,0,2,0,2,0.000078
9018,,,alphanet,1,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0.000075
9023,,,alphapose,1,0,0,0,0,71,3,0,3,0.166667,0.001932,0.016257,0,3,0,3,0.000076
9027,,,alphapept,0,0,0,0,0,2991,1,0,1,0,0.000402,0.000137,0,1,0,1,0.000075
